Coin_ID,Notes,Material,Place,Year_found,Year_created,Condition
38,Reform period,Silver,Rome,1987,270 AD,Good
39,Constantine II period,Bronze,Trier,2005,330 AD,Good
40,Drahma type of coin,Silver,Delphi,1907,350 BC,Very good
41,From a greek colony,Silver,Massalia,1949,300 BC,Good
42,Black Sea region,Bronze,Olbia,1993,200 BC,Fair
43,Magna Graecia,Silver,Poseidonia,1860,500 BC,Good
44,Alexander the Great period,Silver,Amphipolis,1925,350 BC,Excellent
45,Septimus Severus,Silver,Rome,1883,193 AD,Good
46,Religious imagery,Gold,Rome,1951,222 AD ,Good
47,Philir the Arab period,Bronze,Rome,1970,244 AD,Fair
48,Antoniniaus type of coin,Silver,Rome,1996,260 AD,Good
49,Late Roman period,Bronze,Alexandria,2010,340 AD,Good
50,Portrait of Hadrian,Silver,Rome,1984,117 AD,Good
51,Early Classical style,Silver,Knidos,1910,380 BC,Very good
52,Ionian period,Silver,Turkey,1934,360 BC,Good
53,Ear of barley,Silver,Metapontum,1882,450 BC,Very good
54,Greek coin with Grifin imagery,Bronze,Abdera,1978,300 BC,Fair
55,Tetradrahm type of coin,Silver,Turkey,1901,350 BC,Excellent
56,Drahma type of coin,Silver,Naxos,1867,420 BC,Very good
57,Electrum stater,Gold,Turkey,1845,500 BC,Excellent
58,Temple of iconography,Bronze,Italy,1959,410 BC,Good
59,Under Phoenician influence,Silver,Lebanon,1922,330 BC,Very good
60,City emblem,Silver,Phoceae,1895,370 BC,Good
61,Republican era,Silver,Rome,1871,49 BC,Very good
62,Tribute penny type,Silver,Rome,1903,32 AD,Good
63,Caligula period,Gold,Rome,1984,41 AD,Good
64,Claudius period,Bronze,Rome,1966,54 AD,Fair
65,Colosseum period,Silver,Rome,1888,79 AD,Good
66,Nerva period,Gold,Rome,1939,98 AD,Excellent
67,Hadrian period,Bronze,Rome,1985,128 AD,Fair
68,Marcus Aurelius period ,Silver,Rome,1874,161 AD,Very good
69,Gordian III period,Silver,Rome,1990,238 AD,Good
70,Constantine I period,Bronze,Thessalonica,2003,320 AD,Good
71,Hellenistic period,Silver,Magnesia,1918,250 BC,Good
72,Drahma type of coin,Silver,Amisos,194,200 BC,Good
73,Heracles imagery,Bronze,Heraclea Pontica,1977,300 BC,Fair
74,Magna Graecia,Silver,Paestum,1859,450 BC,Good
75,Seleucid I period,Silver,Syria,1926,150 BC,Good
76,Septimus Severus ,Silver,Rome,1869,193 AD,Good
77,Caracalla period,Gold,Rome,1952,211 AD,Good
78,Severus Alexander period,Bronze,Rome,1971,222 AD ,Fair
79,Valerian I period,Silver,Bulgaria,1998,253 AD,Good
80,Constantinus II period,Bronze,Antioch,2007,330 AD,Good
81,Local Peloponnesian ,Silver,Greece,1909,300 BC,Good
82,Federal coinage,Silver,Thessaly,1886,400 BC,Very good
83,Phoenician deity,Bronze,Byblos,1982,200 BC,Fair
84,Heracles imagery,Gold,Bulgaria,1840,450 BC,Excellent
85,Island imagery,Silver,Mytilene,1930,350 BC,Very good
86,Year of four emperors,Silver,Rome,1878,69 AD,Good
87,Hadrian period,Gold,Rome,1964,117 AD,Excellent
88,Antonius reign,Bronze,Rome,1912,138 AD,Fair
89,Aurelian empire,Silver,Rome,1994,270 AD,Good
90,Egyptian coinage,Bronze,Alexandria,2012,350 AD,Good
91,Olympic association,Silver,Greece,1899,360 BC,Good
92,Cilician coinage,Silver,Turkey,1928,330 BC,Very good
93,Black Sea region,Bronze,Chersonesos,1997,200 BC,Fair
94,Italic Greek city,Silver,Italy,1862,480 BC,Good
95,Temple of iconography,Silver,Samos,1946,300 BC,Good
96,Portrait of Commodus,Silver,Rome,1873,180 AD,Good
97,Philir the Arab period,Gold,Rome,1958,244 AD,Good
98,Trajan period,Bronze,Rome,1976,249 AD,Fair
99,Claudius II Gothicus period,Silver,Rome,1999,268 AD,Good
100,Julian II period,Silver,Trier,2015,360 AD,Good
